Model,Train ratio,Number of Samples,Evaluation Samples,Coefficient of Determination (R2),Mean Squared Error
XGB,0.8,6644,1661,0.8174210786819458,923.5429077148438
NN,0.8,6644,1661,0.1994612216949463,4049.3828125
RF,0.8,6644,1661,0.8041425122563157,1653.217758136528
XGB,0.8,6644,1661,0.8084835410118103,1616.5751953125
NN,0.8,6644,1661,0.1455506682395935,7212.33935546875
RF,0.8,6644,1661,0.987055573612406,64.84897838620576
XGB,0.8,6644,1661,0.9757702350616455,121.38611602783203
NN,0.8,6644,1661,0.18925583362579346,4061.665771484375
RF,0.8,6644,1661,0.9789776576688451,69.71456219800159
XGB,0.8,6644,1661,0.9390138387680054,202.2430419921875
NN,0.8,6644,1661,0.27045321464538574,2419.33251953125
RF,0.9,7474,831,0.966806856920698,57.9380779772746
XGB,0.9,7474,831,0.9511569738388062,85.25472259521484
NN,0.9,7474,831,0.5612759590148926,765.7855224609375
RF,0.9,7474,831,0.9605251829685846,61.597215773622246
XGB,0.9,7474,831,0.9445122480392456,86.5840835571289
NN,0.9,7474,831,0.5750340819358826,663.1243896484375
RF,0.9,7474,831,0.9676099287996018,52.520703676165695
XGB,0.9,7474,831,0.9442840814590454,90.34373474121094
NN,0.9,7474,831,0.6106475591659546,631.3374633789062
RF,0.9,7474,831,0.9859652444112118,68.02015932150753
XGB,0.9,7474,831,0.9354273676872253,312.95465087890625
NN,0.9,7474,831,0.20962989330291748,3830.569091796875
RF,0.9,7474,831,0.9816556898750824,203.3780408078338
XGB,0.9,7474,831,0.8180433511734009,2017.3006591796875
NN,0.9,7474,831,0.10805469751358032,9888.7392578125
RF,0.9,7474,831,0.9869322866671156,64.31181811802811
XGB,0.9,7474,831,0.9806479811668396,95.2396011352539
NN,0.9,7474,831,0.2411491870880127,3734.63037109375
RF,0.9,7474,831,0.9869555198597091,63.387285070359084
XGB,0.9,7474,831,0.9820080995559692,87.42835235595703
NN,0.9,7474,831,0.19581931829452515,3907.770263671875
RF,0.9,7474,831,0.7126884012761068,1430.029998971602
XGB,0.9,7474,831,0.3453606963157654,3258.322509765625
NN,0.9,7474,831,0.23163622617721558,3824.361083984375
RF,0.9,7474,831,0.960681944877851,66.721950219382
XGB,0.9,7474,831,0.9432913661003113,96.23341369628906
NN,0.9,7474,831,0.5651094913482666,738.0004272460938
RF,0.9,7474,831,0.987281852713409,63.40129693474003
XGB,0.9,7474,831,0.9731853604316711,133.6738739013672
NN,0.9,7474,831,0.20854151248931885,3945.50341796875
RF,0.9,7474,831,0.7881974739740905,1747.199832670137
XGB,0.9,7474,831,0.8797969222068787,991.5782470703125
NN,0.9,7474,831,0.1652776598930359,6885.78466796875
RF,0.9,7474,831,0.9892644278105331,52.8789309524676
XGB,0.9,7474,831,0.7497493028640747,1232.6297607421875
NN,0.9,7474,831,0.200700044631958,3937.016357421875
RF,0.9,7474,831,0.6988306607649054,1489.5533670784241
XGB,0.9,7474,831,0.5675191283226013,2139.007080078125
NN,0.9,7474,831,0.21765130758285522,3869.418212890625
RF,0.9,7474,831,0.1566457889970262,1262.7661980580313
XGB,0.9,7474,831,-1.1475133895874023,3215.50244140625
NN,0.9,7474,831,0.3783101439476013,930.8650512695312
RF,0.9,7474,831,0.8974925689934733,176.61021531629797
XGB,0.9,7474,831,0.8111982345581055,325.286865234375
NN,0.9,7474,831,0.5280845761299133,813.0637817382812
RF,0.9,7474,831,0.9131007430929668,458.7699199129126
XGB,0.9,7474,831,0.9436131715774536,297.6847229003906
NN,0.9,7474,831,0.21497642993927002,4144.3994140625
RF,0.9,7474,831,-0.10799623556117544,1833.6603530762825
XGB,0.9,7474,831,-0.2958230972290039,2144.50146484375
NN,0.9,7474,831,0.5314022302627563,775.4983520507812
RF,0.9,7474,831,0.9665988341668389,164.51468803548127
XGB,0.9,7474,831,0.9338647127151489,325.7438659667969
NN,0.9,7474,831,0.19145524501800537,3982.420654296875
RF,0.9,7474,831,0.5811259100271762,2156.1142979343563
XGB,0.9,7474,831,0.43718332052230835,2897.04443359375
NN,0.9,7474,831,0.18287771940231323,4206.05859375
RF,0.9,7474,831,0.8420227333928403,1254.7337974727277
XGB,0.9,7474,831,0.7426995038986206,2043.6083984375
NN,0.9,7474,831,0.15672439336776733,6697.71337890625
