Model,Alpha,Training samples,Reserved ratio,Empirical coverage,Empirical width
QRF,0.1,,0.15,0.8278447994783176,20.421525955200195
CQRF,0.1,,0.15,0.9168568633844147,26.304075241088867
CQNN,0.1,,0.15,0.8920769481578089,44.163169860839844
CSRF,0.1,,0.15,0.90577111183567,39.25433623614952
CSXGB,0.1,,0.15,0.896315617867623,35.308074951171875
QNN,0.1,,0.15,0.9034887512226932,41.71809387207031
QRF,0.1,,0.15,0.8242582328007825,20.256614685058594
CQRF,0.1,,0.15,0.911640039126182,25.840118408203125
CQNN,0.1,,0.15,0.9175089664166939,45.36042785644531
CSRF,0.1,,0.15,0.9070753179002282,41.05267631139275
CSXGB,0.1,,0.15,0.9119660906423215,37.34183120727539
QNN,0.1,,0.15,0.9351157482882295,47.18241500854492
QRF,0.1,,0.15,0.8284969025105967,20.30345916748047
CQRF,0.1,,0.15,0.908705575480926,25.40966796875
CQNN,0.1,,0.15,0.9047929572872514,42.494014739990234
CSRF,0.1,,0.15,0.9070753179002282,41.3293592415811
CSXGB,0.1,,0.15,0.8972937724160417,35.14470291137695
QNN,0.1,,0.15,0.9344636452559505,48.320274353027344
QRF,0.1,,0.15,0.8177372024779915,20.704538345336914
CQRF,0.1,,0.15,0.9047929572872514,25.266693115234375
CQNN,0.1,,0.15,0.8868601238995761,43.34726333618164
CSRF,0.1,,0.15,0.9012063906097163,39.423099627374185
CSXGB,0.1,,0.15,0.9018584936419954,36.34739303588867
QNN,0.1,,0.15,0.9165308118682752,44.20067596435547
QRF,0.1,,0.15,0.8252363873492011,20.810253143310547
CQRF,0.1,,0.15,0.911640039126182,25.60636329650879
CQNN,0.1,,0.15,0.8803390935767851,41.875732421875
CSRF,0.1,,0.15,0.9002282360612976,38.65178987969386
CSXGB,0.1,,0.15,0.9070753179002282,36.62226867675781
QNN,0.1,,0.15,0.9285947179654386,47.50212097167969
QRF,0.1,,0.15,0.8226279752200848,20.256113052368164
CQRF,0.1,,0.15,0.9018584936419954,24.91651725769043
CQNN,0.1,,0.15,0.909357678513205,43.05360412597656
CSRF,0.1,,0.15,0.9074013694163677,38.88262730159236
CSXGB,0.1,,0.15,0.9145745027714379,37.44117736816406
QNN,0.1,,0.15,0.908705575480926,43.8691291809082
QRF,0.1,,0.15,0.8245842843169221,20.331584930419922
CQRF,0.1,,0.15,0.90577111183567,25.303678512573242
CQNN,0.1,,0.15,0.8878382784479948,45.01185989379883
CSRF,0.1,,0.15,0.902184545158135,39.64733715458971
CSXGB,0.1,,0.15,0.9070753179002282,37.33187484741211
QNN,0.1,,0.15,0.9034887512226932,42.03422546386719
QRF,0.1,,0.15,0.8301271600912944,20.61331558227539
CQRF,0.1,,0.15,0.9008803390935768,25.254451751708984
CQNN,0.1,,0.15,0.899250081512879,43.76788330078125
CSRF,0.1,,0.15,0.9047929572872514,39.28991378147369
CSXGB,0.1,,0.15,0.9051190088033909,37.094764709472656
QNN,0.1,,0.15,0.9354417998043691,47.991817474365234
QRF,0.1,,0.15,0.8278447994783176,20.638864517211914
CQRF,0.1,,0.15,0.8933811542223671,24.409942626953125
CQNN,0.1,,0.15,0.8989240299967395,44.2676887512207
CSRF,0.1,,0.15,0.9025105966742746,40.588293882868925
CSXGB,0.1,,0.15,0.899250081512879,35.5657958984375
QNN,0.1,,0.15,0.9210955330942289,44.08021545410156
QRF,0.1,,0.15,0.8288229540267362,20.464984893798828
CQRF,0.1,,0.15,0.9106618845777633,25.637619018554688
CQNN,0.1,,0.15,0.8972937724160417,43.718326568603516
CSRF,0.1,,0.15,0.9028366481904141,38.914179928183515
CSXGB,0.1,,0.15,0.8875122269318553,33.82633972167969
QNN,0.1,,0.15,0.9325073361591132,46.45408248901367
QRF,0.1,,0.15,0.8314313661558527,20.789451599121094
CQRF,0.1,,0.15,0.9135963482230193,26.068359375
CQNN,0.1,,0.15,0.8881643299641343,41.07877731323242
CSRF,0.1,,0.15,0.9038148027388327,41.948393363835606
CSXGB,0.1,,0.15,0.9028366481904141,36.75239181518555
QNN,0.1,,0.15,0.8946853602869254,41.30579376220703
QRF,0.1,,0.15,0.8249103358330616,20.323108673095703
CQRF,0.2,,0.15,0.830453211607434,18.452823638916016
CQNN,0.2,,0.15,0.8249103358330616,36.38776779174805
CSRF,0.2,,0.15,0.8229540267362243,26.11333530616834
CSXGB,0.2,,0.15,0.8066514509292468,24.675315856933594
QNN,0.2,,0.15,0.850016302575807,36.628868103027344
QRF,0.2,,0.15,0.7443756113465928,15.099817276000977
CQRF,0.2,,0.15,0.8121943267036191,18.021577835083008
CQNN,0.2,,0.15,0.8011085751548744,32.3132209777832
CSRF,0.2,,0.15,0.8020867297032931,24.618528553177534
CSXGB,0.2,,0.15,0.791979132702967,22.66751480102539
QNN,0.2,,0.15,0.8405608086077601,35.21889114379883
QRF,0.2,,0.15,0.7319856537332898,15.094210624694824
CQRF,0.2,,0.15,0.8219758721878057,17.699432373046875
CQNN,0.2,,0.15,0.8095859145745028,34.37860107421875
CSRF,0.2,,0.15,0.807955656993805,25.25498778810239
CSXGB,0.2,,0.15,0.8082817085099445,23.5723934173584
QNN,0.2,,0.15,0.8131724812520378,35.09550094604492
QRF,0.2,,0.15,0.7323117052494295,14.80401611328125
CQRF,0.2,,0.15,0.7985001630257581,17.477670669555664
CQNN,0.2,,0.15,0.7988262145418976,34.20940399169922
CSRF,0.2,,0.15,0.8164329964134334,26.121185416253088
CSXGB,0.2,,0.15,0.791979132702967,22.888118743896484
QNN,0.2,,0.15,0.7952396478643625,32.43909454345703
QRF,0.2,,0.15,0.7270948809911966,14.948236465454102
CQRF,0.2,,0.15,0.80436909031627,17.970155715942383
CQNN,0.2,,0.15,0.8082817085099445,34.440975189208984
CSRF,0.2,,0.15,0.7805673296380828,22.73932572512204
CSXGB,0.2,,0.15,0.8027388327355722,24.398956298828125
QNN,0.2,,0.15,0.805021193348549,32.928714752197266
QRF,0.2,,0.15,0.7150309748940332,14.688387870788574
CQRF,0.2,,0.15,0.7971959569611998,17.61272621154785
CQNN,0.2,,0.15,0.8115422236713401,35.20173263549805
CSRF,0.2,,0.15,0.7968699054450603,23.587044789684523
CSXGB,0.2,,0.15,0.8004564721225954,22.969236373901367
QNN,0.2,,0.15,0.8493641995435279,35.62173843383789
QRF,0.2,,0.15,0.7257906749266384,14.768756866455078
CQRF,0.2,,0.15,0.8190414085425497,18.3734188079834
CQNN,0.2,,0.15,0.8167590479295729,36.165000915527344
CSRF,0.2,,0.15,0.8252363873492011,27.20203566722461
CSXGB,0.2,,0.15,0.8046951418324095,24.145660400390625
QNN,0.2,,0.15,0.8317574176719922,35.161888122558594
QRF,0.2,,0.15,0.7352461688946854,15.085951805114746
CQRF,0.2,,0.15,0.8092598630583632,18.035625457763672
CQNN,0.2,,0.15,0.8118682751874796,35.71232223510742
CSRF,0.2,,0.15,0.8059993478969677,24.49568849902369
CSXGB,0.2,,0.15,0.8033909357678514,22.621540069580078
QNN,0.2,,0.15,0.863058363221389,38.66754913330078
QRF,0.2,,0.15,0.7264427779589175,15.040911674499512
CQRF,0.2,,0.15,0.8011085751548744,17.620574951171875
CQNN,0.2,,0.15,0.8046951418324095,34.28555679321289
CSRF,0.2,,0.15,0.8014346266710141,24.798440615144518
CSXGB,0.2,,0.15,0.8037169872839909,22.969173431396484
QNN,0.2,,0.15,0.8392566025432018,35.153724670410156
QRF,0.2,,0.15,0.7277469840234757,14.910362243652344
CQRF,0.2,,0.15,0.7981741115096185,17.21451759338379
CQNN,0.2,,0.15,0.8040430388001304,33.34036636352539
CSRF,0.2,,0.15,0.7971959569611998,24.176262207056045
CSXGB,0.2,,0.15,0.8001304206064558,23.084575653076172
QNN,0.2,,0.15,0.8496902510596674,35.67512893676758
QRF,0.2,,0.15,0.7225301597652429,14.841039657592773
CQRF,0.2,,0.15,0.8089338115422237,18.2910213470459
CQNN,0.2,,0.15,0.7988262145418976,33.21694564819336
CSRF,0.2,,0.15,0.8020867297032931,24.936305898964378
CSXGB,0.2,,0.15,0.8125203782197588,24.284948348999023
QNN,0.2,,0.15,0.857189435930877,37.91658020019531
QRF,0.2,,0.15,0.7205738506684056,15.095637321472168
CQRF,0.2,,0.15,0.8099119660906423,17.542476654052734
CQNN,0.2,,0.15,0.8112161721552005,35.60905838012695
CSRF,0.2,,0.15,0.8073035539615259,24.77029934936994
CSXGB,0.2,,0.15,0.8082817085099445,23.514760971069336
QNN,0.2,,0.15,0.7932833387675252,32.481632232666016
QRF,0.2,,0.15,0.7313335507010108,14.717249870300293
CQRF,0.2,,0.15,0.8024127812194327,17.265941619873047
CQNN,0.2,,0.15,0.7844799478317575,32.36091232299805
CSRF,0.2,,0.15,0.7906749266384089,22.98224590061496
CSXGB,0.2,,0.15,0.7910009781545484,22.05912208557129
QNN,0.2,,0.15,0.8490381480273883,37.41761016845703
QRF,0.2,,0.15,0.7329638082817085,14.792620658874512
CQRF,0.2,,0.15,0.8037169872839909,17.704410552978516
CQNN,0.2,,0.15,0.8121943267036191,35.1249885559082
CSRF,0.2,,0.15,0.8004564721225954,24.271538731499433
CSXGB,0.2,,0.15,0.8115422236713401,24.041622161865234
QNN,0.2,,0.15,0.8620802086729703,36.82102584838867
QRF,0.2,,0.15,0.7274209325073362,14.883443832397461
CQRF,0.2,,0.15,0.7773068144766874,17.044635772705078
CQNN,0.2,,0.15,0.7926312357352462,34.815521240234375
CSRF,0.2,,0.15,0.8033909357678514,24.267421030212315
CSXGB,0.2,,0.15,0.7955656993805021,22.82756996154785
QNN,0.2,,0.15,0.7903488751222694,31.18583106994629
QRF,0.2,,0.15,0.7218780567329638,14.716984748840332
CQRF,0.2,,0.15,0.7932833387675252,17.636823654174805
CQNN,0.2,,0.15,0.8134985327681774,34.12725067138672
